target,frame,level,family,manual_conf,difficulty,px_wxh,short_side,edge_clipped,raw_best_iou_tight,raw_best_iou_pad130,raw_score,raw_rank,raw_n_iou50,raw_iou_at_conf015,postmerge_best_iou,classifier_target_p_on_candidate,classifier_top1,classifier_target_p_on_GTbox,final_best_iou,primary_failure,reason
f52_heli,52,2,helicopter,HIGH,EASY,96x75,75,no,0.43,0.27,0.112,0,0,0,0,0.91,helicopter0.59,0.91,0.0,D_threshold,"raw top-1 proposal (score .112, IoU .43) removed by production det_conf=0.15; classifier would say helicopter (.59), target_p .91"
f55_heli,55,2,helicopter,HIGH,MODERATE,95x65,65,bottom,0.41,0.27,0.008,25,0,0.0,0.0,0.99,helicopter0.84,0.98,0.0,B_raw_weak,"only a very low-score raw proposal (.008, rank 25, IoU .41, body only); classifier target_p .99/helicopter .84 if it were proposed"
f6_armor,6,2,tracked_armor_like,HIGH,EASY,49x26,26,no,0.07,0.11,,,0,0.0,0.0,,,0.92,0.0,B_raw_miss,no raw proposal within IoU .07 at any confidence; large obvious 49x26 px vehicle
f7_armor,7,2,tracked_armor_like,HIGH,EASY,50x26,26,no,0.05,0.09,,,0,0.0,0.0,,,0.91,0.0,B_raw_miss,same object next frame; best IoU .05
f100_armor,100,2,tracked_armor_like,HIGH,EASY,58x26,26,no,0.34,0.56,0.744,0,0,0.34,0.34,0.64,large_launcher0.27,0.93,0.34,C_loose_box_E_class,"raw score .744 top-1 covers vehicle (78x56 box vs 58x26 obj, IoU .34 tight); class head says large_launcher .27/hangar .26 (tank-like object)"
f204_veh_small,204,2,vehicle_like,HIGH,EASY,43x41,41,no,0.51,0.85,0.861,0,1,0.51,0.51,0.84,small_launcher0.21,0.97,0.51,OK_detected,raw .861 IoU .51; final emitted small_launcher .179 with IoU .51 (class unverified)
f204_launcher_large,204,2,launcher_like,HIGH,EASY,102x92,92,no,0.68,0.84,0.016,17,2,0.6,0.6,0.48,large_launcher0.67,0.73,0.0,E_bg_reject,post-merge candidate IoU .60 survives; bg head target_p .48 < .5 -> no track (class head large_launcher .67)
f4_armor,4,1,tracked_armor_like,MEDIUM,MODERATE,24x13,13,no,0.01,0.02,,,0,0.0,0.0,,,0.8,0.0,B_raw_miss,no raw proposal (best IoU .01) for 24x13 px L1 vehicle
f50_armor,50,1,tracked_armor_like,MEDIUM,MODERATE,20x20,20,no,0.0,0.0,,,0,0.0,0.0,,,0.96,0.0,B_raw_miss,best IoU 0.00 (top raw .324 is elsewhere)
f50_dark_b,50,1,vehicle_like,MEDIUM,MODERATE,26x25,25,no,0.0,0.01,,,0,0.0,0.0,,,0.5,0.0,B_raw_miss,best IoU 0.00
f50_dark_a,50,1,vehicle_like,LOW,HARD,13x10,10,no,0.0,0.01,,,0,0.0,0.0,,,0.97,0.0,B_raw_miss,LOW-confidence tiny target; best IoU 0.00
f51_armor,51,1,tracked_armor_like,MEDIUM,MODERATE,20x20,20,no,0.0,0.0,,,0,0.0,0.0,,,0.99,0.0,B_raw_miss,best IoU 0.00 (top raw .150 elsewhere)
f101_armor,101,1,tracked_armor_like,MEDIUM,MODERATE,29x13,13,no,0.45,0.74,0.698,0,0,0.45,0.45,0.61,hangar0.18,0.89,0.0,C_loose_box_G_minside_gate,raw .698 IoU .45 (box 39x22 vs 29x13); no final emission overlaps target
f105_armor,105,1,tracked_armor_like,MEDIUM,MODERATE,30x14,14,no,0.61,0.84,0.287,3,1,0.61,0.61,0.83,small_tower0.13,0.88,0,E_minside_gate,post-merge cand IoU .61 (score .287) but 18 px min side < classify_min_px=22 -> never classified -> ev=0 -> never emitted (frame has 0 predictions); forced classify gives target_p .83
