failure_mode,evidence,severity,diagnosis,can_baseline1_prove,likely_remedy,next_experiment_required
L0 information loss,60/60 GT objects below 8 px short side had no IoU>=0.50 localization; recall rises to 65/66 at 16-<32 px.,CRITICAL,CONFIRMED (local); hosted contribution SUPPORTED,Local size dependence yes; hosted causality no,L1/L2 observation for recognition,Oracle crop x resolution recognition
Physical-instance/reference memorization,One physical instance per class; same-sequence mAP 0.3837 versus hosted raw 0.001619.,CRITICAL,SUPPORTED,"Cannot separate instance, scene, and domain factors",Transfer-oriented frozen/exemplar recognition,Identical-crop representation comparison
Background/context memorization,"Catastrophic external gap is compatible, but no controlled context intervention was run.",POTENTIALLY CRITICAL,PLAUSIBLE,No,Object-centric representation and context robustness,Controlled object/context perturbation
Class confusion,10 GT outcomes are localized at IoU>=0.50 but wrong-class: 8 tank and 2 spacecraft.,HIGH FOR AFFECTED CLASSES,CONFIRMED,Yes on Helsinki only,Transfer-oriented recognition / prototypes,Identical-crop representation comparison
Localization weakness,Only 1 GT has correct class with 0.10<=IoU<0.50; localized successes have high IoU. 126/259 GT are localized by some class.,LOW AS PRIMARY CAUSE,NOT SUPPORTED AS PRIMARY,For detected Helsinki objects,Do not prioritize box-loss tuning,L0 localization-only/objectness test
Confidence/ranking weakness,"13 true positives are below 0.10 confidence, but 107 incorrect predictions are also below 0.10; no prediction uses any of the nine AP-zero class IDs at the 0.01 floor.",MODERATE / SECONDARY,CONFIRMED,Yes locally; not hosted,Calibrated quality gates after perception improves,No threshold sweep yet
Class imbalance,Class count versus AP Pearson r=0.279; 25-example classes include both perfect and zero-recall outcomes.,SECONDARY/UNKNOWN,NOT SUPPORTED AS PRIMARY,Weak correlation only,Only revisit after representation test,No dedicated experiment yet
Boundary truncation,Correct IoU>=0.50 recall is 6/23 (26.1%) at boundary versus 110/236 (46.6%) nonboundary; size/class are confounders.,MODERATE,SUPPORTED,"Association, not causal effect",Temporal state and uncertainty near boundaries,Stratify later perception experiment
Temporal intermittency,"Recognized classes have gaps of 1-2 frames, but nine classes are never correctly recognized.",MODERATE; NOT A RESCUE FOR ZERO CLASSES,CONFIRMED,Yes locally,Temporal state only after identity signal exists,Perception-first; then temporal simulation
Runtime skipping,Local realtime sent 8/25 frames; sent-frame predictions exactly match offline.,HIGH FOR LOCAL REALTIME SCORE,CONFIRMED,Yes locally,Later latency/camera scheduling work,Not before perception experiments
API/infrastructure,"Hosted endpoint connected, predicted, validation completed, and reported no errors.",LOW,NOT SUPPORTED,"Rules out gross failure, not all platform differences",None indicated,None
Hosted GT-level attribution,"No hosted GT, frames, classes, boxes, or historical request log is available.",LIMITATION,NOT OBSERVABLE,No,None within current rules,Use allowed local discriminating experiments
